"ID","Use","Born_Month","Gender","Hand_Span","PostCode","StateSecondary16","StateSecondary18","UniTravelMode","Height","GymHours","SocialMediaHours","SleepHours","Piercings","Visual","Job","Handed","Diet","Random1_20","BloodDonor","DrivingLicense","ShoeSize","AlevelGeog","GeogExamBoard","Start","End","Year"
"677627-677618-71217398","Yes","March","Female",195,"IP20 0JY","Yes","Yes","On foot",177,5,15.5666666666667,8,6,"contact lenses","No","right-handed?","vegetarian?",3,"No","Yes",8,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-26 12:36:48 UTC","2021-01-26 12:59:31 UTC",2020
"677627-677618-71217415","Yes","November","Female",170,"b17 0dj","Yes","Yes","On foot",170,1,2,10,4,"neither","Yes","right-handed?","vegetarian?",8,"No","Yes",7,"A-level","Pearson Edexcel","2021-01-26 12:36:55 UTC","2021-01-26 12:59:35 UTC",2020
"677627-677618-71217399","Yes","December","Female",175,"LS22 6WL","Yes","Yes","On foot",164,4,5.5,7.5,9,"contact lenses","Yes","left-handed?","meat eater (occasional or not)?",8,"Yes","Yes",5,"A-level","Pearson Edexcel","2021-01-26 12:36:48 UTC","2021-01-26 12:59:38 UTC",2020
"677627-677618-71217437","Yes","November","Male",165,"E4 7JH","Yes","Yes","Private car as a driver",186,8,2.58333333333333,10,0,"neither","Yes","right-handed?","meat eater (occasional or not)?",12,"No","Yes",10,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-26 12:37:03 UTC","2021-01-26 13:00:04 UTC",2020
"677627-677618-71218226","Yes","June","Female",175,"BA2 5QN","Yes","Yes","On foot",170,4,4.5,9.5,0,"eyeglasses","No","right-handed?","pescatarian?",10,"No","No",7,"A-level","Pearson Edexcel","2021-01-26 12:46:46 UTC","2021-01-26 13:00:57 UTC",2020
"677627-677618-71217422","Yes","November","Female",215,"BR3 6PX","No","No","Train",168,7,2.83333333333333,8.33333333333333,4,"contact lenses","No","right-handed?","meat eater (occasional or not)?",12,"No","Yes",6,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-26 12:36:57 UTC","2021-01-26 13:01:54 UTC",2020
"677627-677618-71217423","Yes","April","Female",172,"FY8 5JG","Yes","Yes","Private car as a passenger",170,3,4,8,2,"neither","No","right-handed?","vegetarian?",17,"No","No",6,"A-level","AQA (Assessment and Qualifications Alliance)","2021-01-26 12:36:57 UTC","2021-01-26 13:02:51 UTC",2020
"677627-677618-71217402","Yes","September","Female",150,"LE17 4HU","Yes","Yes","Bus",175,5,4,8,0,"eyeglasses","Yes","right-handed?","meat eater (occasional or not)?",16,"No","Yes",6,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-26 12:36:49 UTC","2021-01-26 13:02:56 UTC",2020
"677627-677618-71217440","Yes","November","Female",190,"OL4 2NY","Yes","Yes","On foot",165,4.0636,1.4,7.75,2,"eyeglasses","No","right-handed?","meat eater (occasional or not)?",6,"No","No",6.5,"A-level","Pearson Edexcel","2021-01-26 12:37:04 UTC","2021-01-26 13:03:19 UTC",2020
"677627-677618-71217376","Yes","October","Male",200,"BD7 2HT","Yes","Yes","Bus",180.34,7.5,1.7,7.5,0,"eyeglasses","No","right-handed?","meat eater (occasional or not)?",7,"No","No",8,"A-level","AQA (Assessment and Qualifications Alliance)","2021-01-26 12:36:41 UTC","2021-01-26 13:04:26 UTC",2020
"677627-677618-71217395","Yes","October","Female",170,"M98BU","Yes","Yes","Train",165,3,3.5,9.75,8,"neither","Yes","right-handed?","vegetarian?",8,"No","Yes",6,"A-level","AQA (Assessment and Qualifications Alliance)","2021-01-26 12:36:47 UTC","2021-01-26 13:04:53 UTC",2020
"677627-677618-71217441","Yes","October","Male",210,"BS4 3HN","Yes","Yes","On foot",176,3.5,1.41666666666667,6.41666666666667,0,"neither","Yes","right-handed?","meat eater (occasional or not)?",17,"No","No",9.5,"A-level","Pearson Edexcel","2021-01-26 12:37:05 UTC","2021-01-26 13:05:15 UTC",2020
"677627-677618-71219035","Yes","October","Female",190,"LE8 4GB ","Yes","Yes","On foot",170,14,2.5,7.5,2,"neither","No","right-handed?","meat eater (occasional or not)?",16,"Yes","No",7,"A-level","WJEC (Welsh Joint Examinations Committee)","2021-01-26 12:55:57 UTC","2021-01-26 13:05:35 UTC",2020
"677627-677618-71217380","Yes","June","Female",175,"M28 7XS","Yes","Yes","On foot",165.1,3,2.98333333333333,8,6,"eyeglasses","No","right-handed?","meat eater (occasional or not)?",18,"No","No",6,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-26 12:36:42 UTC","2021-01-26 13:09:36 UTC",2020
"677627-677618-71217431","Yes","April","Female",185,"BH18 9NL","No","Yes","On foot",168,1.5,6,6.5,2,"neither","No","right-handed?","pescatarian?",6,"No","Yes",6,"A-level","AQA (Assessment and Qualifications Alliance)","2021-01-26 12:36:59 UTC","2021-01-26 13:10:40 UTC",2020
"677627-677618-71219234","Yes","December","Male",110,"WF7 6JP","Yes","Yes","Private car as a passenger",185,3.5,0.666666666666667,7.66666666666667,0,"eyeglasses","No","right-handed?","vegetarian?",7,"No","No",9,"A-level","AQA (Assessment and Qualifications Alliance)","2021-01-26 12:58:04 UTC","2021-01-26 13:21:31 UTC",2020
"677627-677618-71217421","Yes","July","Female",190,"SY22 5HU","Yes","Yes","Private car as a passenger",175,3.5,1.4,9,4,"neither","Yes","right-handed?","meat eater (occasional or not)?",6,"No","Yes",7,"A-level","WJEC (Welsh Joint Examinations Committee)","2021-01-26 12:36:56 UTC","2021-01-26 16:46:44 UTC",2020
